s,Faction,Front Name,Era,Cost,Front Factory,Upgrade1,Upgrade2,Back Name,Back Factory,Input,Front Output,Front Efficiency,Back Output,Back Efficiency,Upgrades
177,凯特,无序牺牲性,0,Starting,U➪,临床永生,通用翻译器,多恒星系,U➪B,3,4,1.333,7.5,2.5,1.875
178,凯特,奇点控制,2,Researched,UU➪YYBwbg*,超空间开采,非时序分析,虫洞网格,UU➪YYBwbg*wb,6,8.5,1.417,10.5,1.75,1.235
179,凯特,扩散,0,Starting,TYB****,纳米科技,基因工程学,目的论再设计,TYB****+wb,,,,,,
180,凯特,广域社会,0,Starting,ggggg➪,跨种族道德平等,种族间医学交流,心理史学,ggggg➪wb,5,8.5,1.7,12.5,2.5,1.471
181,凯特,巨型建筑,3,Researched,UUU➪$$$$$bb,时间膨胀,物质生成,戴森群,UUU➪$$$$$$bbT,9,17,1.889,21.5,2.389,1.265
182,凯特,Phases,,Reference,,,,,,,,,,,
183,凯特,Zd'Nx,1,Y→,"J,B➪wg",,,,,1.5,2,1.333,,,
184,凯特,Kz'Tlr,1,Y→,"J,w➪B",,,,,1,1.5,1.5,,,
185,凯特,Kln'Qn,1,YY→,"I,➪w",,,,,0,1,,,,
186,凯特,Nz'Cht'Qt'Rz,1,YY→,"W,Y➪U",,,,,1.5,3,2,,,
187,凯特,Tn'Rg'Tx'Tc,1,Y→,"D,B➪wg",,,,,1.5,2,1.333,,,
188,凯特,Gz'Zd,1,YY→,"J,➪w",,,,,0,1,1000,,,
189,凯特,!IN'ZR'KZ,1,YY→,"D,wb➪YB",,,,,2,3,1.5,,,
190,凯特,Tk'T!'Zk,1,YY→,"D,➪b",,,,,0,1,,,,
191,凯特,Kr'Xn'Xx,1,Y→,"I,b➪T",,,,,1,1.5,,,,
192,凯特,Kt'Dq'Rn'Nr,1,Y→,"W,b➪B",,,,,1,1.5,1.5,,,
193,凯特,Nx'Xt'!In,1,YY→,"I,➪b",,,,,0,1,,,,
194,凯特,Nx'Dr,1,Y→,"D,g➪T",,,,,1,1.5,1.5,,,
195,凯特,Nz'Tt,1,Y→,"W,T➪wb",,,,,1.5,2,1.333,,,
196,联合体,通用翻译器,1,Researched,www➪$+B,泛在文化知识库,量子计算机,通用共情交流,sss➪$+BA,3,4,1.333,6,2,1.5
197,联合体,Phases,,Reference,,,,,,,,,,,
198,联合体,极限,1,LLLN→$,U➪Aaaa,通用翻译器,量子计算机,极限+,U➪Aaaa+a,3,4.5,1.5,5.5,1.833,1.222
199,联合体,跨种族道德平等,2,Researched,wwww➪$+$w,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$Aa+$w,4,7,1.75,9.5,2.375,1.357
200,联合体,纳米科技,1,Researched,bbb➪Uw,基因工程学,原子嬗变,纳米制造,sss➪Uwa,3,4,1.333,5,1.667,1.25
201,联合体,基因工程学,1,Researched,ggg➪TBb,纳米科技,临床永生,基因再合成,sss➪YBba,3,4,1.333,5,1.667,1.25
202,联合体,社会迁移,3,Researched,wwwww➪$**B+$**YT,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**B+$**YgT,5,14.5,2.9,18.5,3.7,1.276
203,联合体,反物质能源,2,Researched,bbbb➪YYTg,超空间开采,有机结构,反物质化合物,bbbb➪YYTgA,4,5.5,1.375,7,1.75,1.273
204,联合体,种族间医学交流,2,Researched,gggg➪$w+bb,跨种族道德平等,有机结构,泛生物医学,gggg➪$waa+bb,4,6,1.5,8,2,1.333
205,联合体,泛在文化知识库,1,Researched,YY➪$b,通用翻译器,量子计算机,模因生命体,LL➪$ba,3,4,1.333,5,1.667,1.25
206,联合体,异文化交流,3,Researched,bbbbb➪$Twwgg+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Twwgg+$Bw,5,11.5,2.3,17,3.4,1.478
207,联合体,多元种族企业,3,Researched,ggggg➪$YB**+bggw,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YB**+bgggw,5,12,2.4,16,3.2,1.333
208,联合体,超空间开采,2,Researched,YYY➪UT+BB,反物质能源,奇点控制,超空间定居点,YYY➪UTAA+BB,4.5,7.5,1.667,10.5,2.333,1.4
209,联合体,量子计算机,1,Researched,BB➪TYg,通用翻译器,临床永生,非确定性多项式塌缩,LL➪TYga,3,4,1.333,5,1.667,1.25
210,联合体,临床永生,1,Researched,TT➪$w,基因工程学,原子嬗变,实用永生,LL➪$wa,3,4,1.333,5,1.667,1.25
211,联合体,物质生成,3,Researched,YYYY➪$$UBbw,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UBbwb,6,12.5,2.083,16.5,2.75,1.32
212,联合体,非时序分析,2,Researched,BBB➪UTgg,反物质能源,奇点控制,时间查看器,BBB➪UTggaa,4.5,6.5,1.444,8.5,1.889,1.308
213,联合体,有机结构,2,Researched,TTT➪**wwbg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪**wwbgA,4.5,6,1.333,7.5,1.667,1.25
214,联合体,原子嬗变,1,Researched,U➪BTb,泛在文化知识库,纳米科技,虚材料,U➪BTba,3,4,1.333,5,1.667,1.25
215,联合体,银河系通讯控制,3,Researched,BBBB➪$$$ggb,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Tggb,6,12,2,16.5,2.75,1.375
216,联合体,时间膨胀,3,Researched,TTTT➪$$Ubbw,巨型建筑,物质生成,静滞场,TTTT➪$$$Ubbw+U,6,12,2,18,3,1.5
217,联合体,奇点控制,2,Researched,UU➪YBBgwb*,超空间开采,非时序分析,虫洞网格,UU➪YBBgwb*A,6,8.5,1.417,10,1.667,1.176
218,联合体,分形对称,1,ssLN→$,ssL➪AU,奇点控制,超空间开采,分型对称+,ssL➪AU+Aa,3.5,4.5,1.286,7,2,1.556
219,联合体,探索者结合体,0,Starting,sss➪**Bb,LLN→$,非时序分析,引力太阳透镜传感器阵列,sss➪**BbA,3,4.5,1.5,6,2,1.333
220,联合体,巨型建筑,3,Researched,UUU➪$$$$$wb,时间膨胀,物质生成,戴森群,UUU➪$$$$$$wbY,9,17,1.889,21.5,2.389,1.265
221,联合体,金刚烷合成,0,Starting,LL➪Ug,原子嬗变,临床永生,可编程性虚物质,LL➪Uga,3,4,1.333,5,1.667,1.25
222,联合体,适应性制造,0,Starting,➪Aa*,sssN→$,纳米科技,预测性建造,➪Aa*a,0,3.5,1000,4.5,1000,1.286
223,联合体,贝塞尔,1,sssN→$,sss➪Aaa,有机结构,反物质能源,贝塞尔+,sss➪Aaa+A,3,3.5,1.167,5,1.667,1.429
224,联合体,色彩空间,1,LLN→$,LL➪Aaa,种族间医学交流,跨种族道德平等,色彩空间+,LL➪Aaa+A,3,3.5,1.167,5,1.667,1.429
225,岩基艾,纳米科技,1,Researched,bbb➪Ug,基因工程学,原子嬗变,纳米制造,bbb➪UgT,3,4,1.333,5.5,1.833,1.375
226,岩基艾,基因工程学,1,Researched,ggg➪YBw,纳米科技,临床永生,基因再合成,ggg➪YBwY,3,4,1.333,5.5,1.833,1.375
227,岩基艾,通用翻译器,1,Researched,www➪$+T,泛在文化知识库,量子计算机,通用共情交流,www➪$+Twg,3,4.5,1.5,6.5,2.167,1.444
228,岩基艾,反物质能源,2,Researched,bbbb➪YTBg,超空间开采,有机结构,反物质化合物,bbbb➪YTBggw,4,5.5,1.375,7.5,1.875,1.364
229,岩基艾,种族间医学交流,2,Researched,gggg➪$w+wb,跨种族道德平等,有机结构,泛生物医学,gggg➪$wbT+wb,4,6,1.5,8.5,2.125,1.417
230,岩基艾,跨种族道德平等,2,Researched,wwww➪$+$g,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$U+$g,4,7,1.75,10,2.5,1.429
231,岩基艾,异文化交流,3,Researched,bbbbb➪$Ywwgg+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Ywwgg+$Tg,5,11.5,2.3,17,3.4,1.478
232,岩基艾,多元种族企业,3,Researched,ggggg➪$YT**+ggwb,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YT**+ggwbw,5,12,2.4,16,3.2,1.333
233,岩基艾,社会迁移,3,Researched,wwwww➪$**B+$**BT,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**B+$**BTb,5,14.5,2.9,18.5,3.7,1.276
234,岩基艾,量子计算机,1,Researched,BB➪TYb,通用翻译器,临床永生,非确定性多项式塌缩,BB➪TYbY,3,4,1.333,5.5,1.833,1.375
235,岩基艾,临床永生,1,Researched,TT➪$g,基因工程学,原子嬗变,实用永生,TT➪$gB,3,4,1.333,5.5,1.833,1.375
236,岩基艾,泛在文化知识库,1,Researched,YY➪$w,通用翻译器,量子计算机,模因生命体,YY➪$wT,3,4,1.333,5.5,1.833,1.375
237,岩基艾,非时序分析,2,Researched,BBB➪UYwg,反物质能源,奇点控制,时间查看器,BBB➪UYwggT,4.5,6.5,1.444,9,2,1.385
238,岩基艾,有机结构,2,Researched,TTT➪**wbgg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪**wbggY,4.5,6,1.333,7.5,1.667,1.25
239,岩基艾,超空间开采,2,Researched,YYY➪UT+TY,反物质能源,奇点控制,超空间定居点,YYY➪UTbbB+TY,4.5,7.5,1.667,11,2.444,1.467
240,岩基艾,银河系通讯控制,3,Researched,BBBB➪$$$bbw,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Ybbw,6,12,2,16.5,2.75,1.375
241,岩基艾,时间膨胀,3,Researched,TTTT➪$$Ubww,巨型建筑,物质生成,静滞场,TTTT➪$$$Ubww+U,6,12,2,18,3,1.5
242,岩基艾,物质生成,3,Researched,YYYY➪$$UTbg,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UTbgw,6,12.5,2.083,16.5,2.75,1.32
243,岩基艾,道之选择,0,Starting,wwB➪Ugg,TTW→$,泛在文化知识库,外星种族决策融合,wwB➪Uggbb,3.5,5,1.429,7,2,1.4
244,岩基艾,言之共情,0,Starting,bbT➪BBww,ggJ→$,跨种族道德平等,种族间外交领域,bbT➪BBwwY,3.5,5,1.429,6.5,1.857,1.3
245,岩基艾,原子嬗变,1,Researched,U➪YBb,泛在文化知识库,纳米科技,虚材料,U➪YBTb,3,4,1.333,5.5,1.833,1.375
246,岩基艾,手之创新,0,Starting,U➪**Yg,BBD→$,非时序分析,跨时空智库,U➪**Yg+gw,3,4.5,1.5,6.5,2.167,1.444
247,岩基艾,骡之劳作,0,Starting,ggY➪**Tbb,UI→$,奇点控制,重力装配,ggY➪**Tbbb+ww,3.5,5.5,1.571,8.5,2.429,1.545
248,岩基艾,奇点控制,2,Researched,UU➪YBBbbw*,超空间开采,非时序分析,虫洞网格,UU➪YBBwwbbg*,6,8.5,1.417,10.5,1.75,1.235
249,岩基艾,Phases,,Reference,,,,,,,,,,,
250,岩基艾,巨型建筑,3,Researched,UUU➪$$$$$gb,时间膨胀,物质生成,戴森群,UUU➪$$$$$$gbB,9,17,1.889,21.5,2.389,1.265
251,岩基艾,社会生态互利共生,0,Starting,➪Tb**,种族间医学交流,反物质能源,互利共生式外星种族融合,➪Tb**gw,0,4.5,1000,6.5,1000,1.444
252,泽思,走私网络,0,Starting,ZZZB/YYw➾U,超空间开采,,超空间劫持,ZZB/YY➾Us,(1.5 or 4),3,,4,,
253,泽思,纳米科技,1,Researched,bbb➪Ug,基因工程学,原子嬗变,纳米制造,bbb➪UgT,3,4,1.333,5.5,1.833,1.375
254,泽思,基因工程学,1,Researched,ggg➪YTb,纳米科技,临床永生,基因再合成,ggg➪YTbT,3,4,1.333,5.5,1.833,1.375
255,泽思,通用翻译器,1,Researched,www➪$+B,泛在文化知识库,量子计算机,通用共情交流,www➪$+Bgb,3,4.5,1.5,6.5,2.167,1.444
256,泽思,反物质能源,2,Researched,bbbb➪TTYw,超空间开采,有机结构,反物质化合物,bbbb➪TTYwgg,4,5.5,1.375,7.5,1.875,1.364
257,泽思,种族间医学交流,2,Researched,gggg➪$w+gb,跨种族道德平等,有机结构,泛生物医学,gggg➪$wTb+gb,4,6,1.5,8.5,2.125,1.417
258,泽思,跨种族道德平等,2,Researched,wwww➪$+$g,种族间医学交流,非时序分析,具体共相元理论学,wwww➪$U+$g,4,7,1.75,10,2.5,1.429
259,泽思,异文化交流,3,Researched,bbbbb➪$Tgggw+$,巨型建筑,社会迁移,多种族混合文化,bbbbb➪$$Tgggw+$Bw,5,11.5,2.3,17,3.4,1.478
260,泽思,多元种族企业,3,Researched,ggggg➪$YT**+bbgw,银河系通讯控制,异文化交流,全种族间融合,ggggg➪$$YT**+bbgwb,5,12,2.4,16,3.2,1.333
261,泽思,社会迁移,3,Researched,wwwww➪$**T+$**YB,银河系通讯控制,异文化交流,银河系殖民,wwwww➪$$**T+$**YBg,5,14.5,2.9,18.5,3.7,1.276
262,泽思,量子计算机,1,Researched,BB➪TTw,通用翻译器,临床永生,非确定性多项式塌缩,BB➪TTwY,3,4,1.333,5.5,1.833,1.375
263,泽思,临床永生,1,Researched,TT➪$g,基因工程学,原子嬗变,实用永生,TT➪$gB,3,4,1.333,5.5,1.833,1.375
264,泽思,泛在文化知识库,1,Researched,YY➪$g,通用翻译器,量子计算机,模因生命体,YY➪$gT,3,4,1.333,5.5,1.833,1.375
265,泽思,非时序分析,2,Researched,BBB➪UTwb,反物质能源,奇点控制,时间查看器,BBB➪UTwbwT,4.5,6.5,1.444,9,2,1.385
266,泽思,有机结构,2,Researched,TTT➪**bbgg,种族间医学交流,跨种族道德平等,活体基础设施,TTT➪**bbggY,4.5,6,1.333,7.5,1.667,1.25
267,泽思,超空间开采,2,Researched,YYY➪UT+TB,反物质能源,奇点控制,超空间定居点,YYY➪UTBwb+TB,4.5,7.5,1.667,11,2.444,1.467
268,泽思,银河系通讯控制,3,Researched,BBBB➪$$$bgg,多元种族企业,社会迁移,银河系统治,BBBB➪$$$$Tbgg,6,12,2,16.5,2.75,1.375
269,泽思,时间膨胀,3,Researched,TTTT➪$$Uwwb,巨型建筑,物质生成,静滞场,TTTT➪$$$Uwwb+U,6,12,2,18,3,1.5
270,泽思,物质生成,3,Researched,YYYY➪$$UBbb,多元种族企业,时间膨胀,大规模传送,YYYY➪$$$UBbbg,6,12.5,2.083,16.5,2.75,1.32
271,泽思,"""特使""",0,Starting,www➪+ZTYgU,跨种族道德平等,,泽思人流散,www➪$+Z$U,3,7,2.333,9,3,1.286
272,泽思,串联式欺诈,0,Starting,"➪*BB,B➪**",通用翻译器,,心理学史欺诈,"➪*BBg,B➪** §",1.5,6,4,7,4.667,1.167
273,泽思,原子嬗变,1,Researched,U➪YBb,泛在文化知识库,纳米科技,虚材料,U➪YBbT,3,4,1.333,5.5,1.833,1.375
274,泽思,系统性贿赂,0,Starting,ZB/ww➾ss,非时序分析,,预测性代理人介入,ZZZ/ZB/ww➾sss,([0] / 1.5 /2),2,,3,,
275,泽思,黑市,0,Starting,ZZ/B➾L,纳米科技,,无踪迹信任骗局,ZZZ/ZB/BB➾LL,([0] / 1.5 /3),1.5,,3,,
276,泽思,奇点控制,2,Researched,UU➪TBYgbb*,超空间开采,非时序分析,虫洞网格,UU➪TBYgbb*wb,6,8.5,1.417,10.5,1.75,1.235
277,泽思,Phases,,Reference,,,,,,,,,,,
278,泽思,巨型建筑,3,Researched,UUU➪$$$$$gb,时间膨胀,物质生成,戴森群,UUU➪$$$$$$gbY,9,17,1.889,21.5,2.389,1.265
279,Colonies,南十字二,1,Bid,"D,➪b",ww→,,Acrux,"I,➪bw",,,,,,
280,Colonies,角宿一,1,Bid,"I,➪w",gg→,,Spica,"W,➪wg",,,,,,
281,Colonies,心宿二,1,Bid,"J,➪g",U→,,Antares,"I,g➪U",,,,,,
282,Colonies,南十字三,1,Bid,"I,➪w",T→,,Mimosa,"J,➪T",,,,,,
283,Colonies,轩辕十四,1,Bid,"J,➪w",Y→,,Regulus,"D,➪Y",,,,,,
284,Colonies,北河二,1,Bid,"W,➪w",B→,,Castor,"I,➪B",,,,,,
285,Colonies,南船五,1,Bid,"W,➪g",B→,,Miaplacidus,"D,➪B",,,,,,
286,Colonies,南门二,1,Bid,"D,➪w",B→,,Toliman,"I,➪B",,,,,,
287,Colonies,弧矢一,1,Bid,"J,➪b",B→,,Wezen,"W,➪B",,,,,,
288,Colonies,天船三,1,Bid,"J,➪g",B→,,Mirfak,"I,➪B",,,,,,
289,Colonies,北斗七,1,Bid,"W,➪g",T→,,Benetnasch,"J,➪T",,,,,,
290,Colonies,尾宿五,1,Bid,"D,➪b",Y→,,Sargas,"J,➪Y",,,,,,
291,Colonies,孔雀十一,1,Bid,"D,➪b",B→,,Peacock,"J,➪B",,,,,,
292,Colonies,天社三,1,Bid,"D,➪b",T→,,Koo She,"W,➪T",,,,,,
293,Colonies,北极星,1,Bid,"W,➪b",Y→,,Polaris,"D,➪Y",,,,,,
294,Colonies,北落师门,1,Bid,"I,➪b",U→,,Fomalhaut,"D,b➪U",,,,,,
295,Colonies,南十字一,1,Bid,"I,➪w",Y→,,Gacrux,"D,➪Y",,,,,,
296,Colonies,参宿四,1,Bid,"I,➪w",U→,,Betelgeuse,"J,w➪U",,,,,,
297,Colonies,大角星,1,Bid,"I,➪b",T→,,Arcturus,"W,➪T",,,,,,
298,Colonies,鹤一,1,Bid,"I,➪b",B→,,Alnair,"W,➪B",,,,,,
299,Colonies,北斗五,1,Bid,"I,➪w",bb→,,Alioth,"D,➪wb",,,,,,
300,Colonies,弧矢七,1,Bid,"J,➪g",ww→,,Adara,"I,➪gw",,,,,,
301,Colonies,天狼星,1,Bid,"J,➪g",B→,,Sirius,"I,➪B",,,,,,
302,Colonies,参宿七,1,Bid,"J,➪g",T→,,Rigel,"W,➪T",,,,,,
303,Colonies,娄宿三,1,Bid,"J,➪g",T→,,El Nath,"W,➪T",,,,,,
304,Colonies,毕宿五,1,Bid,"J,➪b",Y→,,Aldebaran,"D,➪Y",,,,,,
305,Colonies,三角形三,1,Bid,"J,➪g",Y→,,Atria,"D,➪Y",,,,,,
306,Colonies,参宿一,1,Bid,"W,➪g",U→,,Alnitak,"I,g➪U",,,,,,
307,Colonies,马腹一,1,Bid,"W,➪g",Y→,,Hadar,"J,➪Y",,,,,,
308,Colonies,五车二,1,Bid,"W,➪g",T→,,Capella,"J,➪T",,,,,,
309,Colonies,尾宿八,1,Bid,"D,➪b",gg→,,Shaula,"J,➪gb",,,,,,
310,Colonies,老人星,1,Bid,"D,➪b",U→,,Canopus,"I,b➪U",,,,,,
311,Colonies,织女星,1,Bid,"D,➪b",T→,,Vega,"J,➪T",,,,,,
312,Colonies,牛郎星,1,Bid,"W,➪g",Y→,,Altair,"D,➪Y",,,,,,
313,Colonies,天记星,1,Bid,"W,➪w",B→,,Suhail,"I,➪B",,,,,,
314,Colonies,北河三,1,Bid,"D,➪w",T→,,Pollux,"W,➪T",,,,,,
315,Colonies,天津四,1,Bid,"I,➪w",B→,,Deneb,"W,➪B",,,,,,
316,Colonies,参宿五,1,Bid,"W,➪w",Y→,,Bellatrix,"D,➪Y",,,,,,
317,Colonies,水委一,1,Bid,"I,➪w",T→,,Achernar,"J,➪T",,,,,,
318,Colonies,南河三,1,Bid,"D,➪b",Y→,,Procyon,"W,➪Y",,,,,,
319,Research,机械工程师,1,Bid,Y4/U2→$1X,,,纳米科技,,,,,,,
320,Research,计算机理论学家,1,Bid,w6/T4→$1X,,,量子计算机,,,,,,,
321,Research,语言学分析师,1,Bid,g6/B4→$1X,,,通用翻译器,,,,,,,
322,Research,有机化学家,1,Bid,b6/T4→$1X,,,基因工程学,,,,,,,
323,Research,医药学家,1,Bid,g6/U2→$1X,,,临床永生,,,,,,,
324,Research,社会学家,1,Bid,w6/B4→$1X,,,泛在文化知识库,,,,,,,
325,Research,核物理学家,1,Bid,b6/Y4→$1X,,,原子嬗变,,,,,,,
326,Research,比较生理学家,2,Bid,b9/B6→$3X,,,种族间医学交流,,,,,,,
327,Research,零空间数学家,2,Bid,T8/U4→$4X,,,超空间开采,,,,,,,
328,Research,重力拓扑学家,2,Bid,b12/g12→$4X,,,奇点控制,,,,,,,
329,Research,元伦理学家,2,Bid,Y7/B7→$4X,,,跨种族道德平等,,,,,,,
330,Research,量子理论学家,2,Bid,g9/T6→$3X,,,反物质能源,,,,,,,
331,Research,量子统计学家,2,Bid,w12/U4→$4X,,,非时序分析,,,,,,,
332,Research,有机建筑师,2,Bid,w9/Y6→$3X,,,有机结构,,,,,,,
333,Research,恒星建筑规划师,3,Bid,T14/Y14→$11X,,,巨型建筑,,,,,,,
334,Research,心理史学家,3,Bid,B12/U6→$9X,,,社会迁移,,,,,,,
335,Research,亚量子操纵者,3,Bid,g18/w18→$9X,,,物质生成,,,,,,,
336,Research,模因设计师,3,Bid,b18/w18→$9X,,,银河系通讯控制,,,,,,,
337,Research,种族间管理者,3,Bid,T11/B11→$8X,,,多元种族企业,,,,,,,
338,Research,文化传播学者,3,Bid,g15/Y10→$7X,,,异文化交流,,,,,,,
339,Research,时间物理学家,3,Bid,b18/U6→$9X,,,时间膨胀,,,,,,,
340,Research,文化多态学家,4,Bid,w18/b18/U6→$8X,,,,,,,,,,
341,Research,重建古植物学家,4,Bid,w21/g21/U7→$10X,,,,,,,,,,
342,Research,非生物病理学家,4,Bid,w24/Y18/U8→$12X,,,,,,,,,,
343,Research,间期理论学家,4,Bid,b24/g24/U8→$12X,,,,,,,,,,
344,Research,介观尺度地质工程师,4,Bid,b27/Y18/U9→$14X,,,,,,,,,,
345,Research,智慧开发者,4,Bid,w21/Y14/B14→$10X,,,,,,,,,,
346,Research,自主远程操作员,4,Bid,T12/Y12/B12→$8X,,,,,,,,,,
347,Research,分形微生物学家,4,Bid,w21/g21/T14→$10X,,,,,,,,,,
348,Research,恒星等离子体流工程师,4,Bid,w21/T14/B14→$10X,,,,,,,,,,
349,Research,混沌理论学家,4,Bid,g18/Y12/B12→$8X,,,,,,,,,,
350,Research,海洋生物技术学家,4,Bid,b18/T12/U6→$8X,,,,,,,,,,
351,Research,递归元理论学家,4,Bid,w30/b30/B20→$16X,,,,,,,,,,
352,Research,奇点控制技术员,4,Bid,B20/T20/U10→$16X,,,,,,,,,,
353,Research,应用拓扑学家,4,Bid,w30/b30/Y20→$16X,,,,,,,,,,
354,Research,元认知生态学家,4,Bid,g30/T20/U10→$16X,,,,,,,,,,
355,Research,等离子体奥克松斯学家,4,Bid,g24/b24/Y16→$12X,,,,,,,,,,
356,Research,心理史学伦理学家,4,Bid,g27/w27/B18→$14X,,,,,,,,,,
357,Research,超光速粒子航天技术人员,4,Bid,g30/Y20/T20→$16X,,,,,,,,,,
358,Research,原位基因编辑,4,Bid,g24/b24/B16→$12X,,,,,,,,,,
359,Research,宏观生物物理学家,4,Bid,b27/B18/T18→$14X,,,,,,,,,,
360,Confluence,4 players; turn 6; bonus 2/0,0,Common,,,,,,,,,,,
361,Confluence,7+ players; turn 6; bonus 0/0,0,Common,,,,,,,,,,,
362,Confluence,"5,6 players; turn 6; bonus 1/0",0,Common,,,,,,,,,,,
363,Confluence,7+ players; turn 1; bonus 7/2,0,Common,,,,,,,,,,,
364,Confluence,4-6 players; turn 1; bonus 6/3,0,Common,,,,,,,,,,,
365,Confluence,5+ players; turn 2; bonus 6/2,0,Common,,,,,,,,,,,
366,Confluence,5+ players; turn 3; bonus 5/1,0,Common,,,,,,,,,,,
367,Confluence,4 players; turn 2; bonus 5/2,0,Common,,,,,,,,,,,
368,Confluence,4+ players; turn 4; bonus 4/1,0,Common,,,,,,,,,,,
369,Confluence,4 players; turn 3; bonus 4/2,0,Common,,,,,,,,,,,
370,Confluence,4-5 players; turn 5; bonus 3/1,0,Common,,,,,,,,,,,
371,Confluence,6+ players; turn 5; bonus 2/0,0,Common,,,,,,,,,,,
372,联合体,Starting Race Card,,Reference,UAAAaaaa,1 Colony,1 Research Team,,,,,,,,
373,贾斯,Starting Race Card,,Reference,TYYBBgwbb****,2 Colonies,,,,,,,,,
374,法德澜,Starting Race Card,,Reference,UYTwwwb**,1 Colony,1 Research Team,,,,,,,,
375,凯利安,Starting Race Card,,Reference,BBgggggwwwwbb*,1 Colony with x2,,,,,,,,,
376,艾恩卓尔,Starting Race Card,,Reference,UTBYggwwbbb****,,1 Research Team,,,,,,,,
377,泽思,Starting Race Card,,Reference,TTYBBgw*,,1 Research Team,,,,,,,,
378,恩尼艾特,Starting Race Card,,Reference,Tbbwwg*,1 Colony,,,,,,,,,
379,凯特,Starting Race Card,,Reference,UTYBgggwwbbb,1 Colony,1 Research Team,,,,,,,,
380,岩基艾,Starting Race Card,,Reference,UTYYBgwb,1 Colony,1 Research Team,,,,,,,,
381,Donation,Donation,,Starting,,,,Donation,,,,,,,
382,Donation,Donation,,Starting,,,,Donation,,,,,,,
383,Donation,Donation,,Starting,,,,Donation,,,,,,,
384,Donation,Donation,,Starting,,,,Donation,,,,,,,
385,Donation,Donation,,Starting,,,,Donation,,,,,,,
386,Donation,Donation,,Starting,,,,Donation,,,,,,,
387,Donation,Donation,,Starting,,,,Donation,,,,,,,
388,Donation,Donation,,Starting,,,,Donation,,,,,,,
389,Donation,Donation,,Starting,,,,Donation,,,,,,,
B1,贾斯,割据状态殖民地,1,DIbYY→$,"T➪Bb+w,g➪**+w §",WJDbb→$$,,星系外沿霸权,"T➪Bb+w,g➪**+w,U➪$Y+wgb §",5.5,6.5,,14,,
B2,贾斯,哈德沙诸侯领,1,DJYYY→$$,BB➪UTbg,WDIYY→$$$,,哈德沙帝国,"BB➪UTbg,YYY➪Tbggww** §",7.5,6.5,0.867,15,2,
B3,贾斯,瓦格莱格宗主权,1,DWYYY→$$,ww➪$Yb,JDIYY→$$$,,瓦格莱格统治权,"ww➪$Yb,bbbb➪$Ug* §",6,5.5,,13.5,,
